domain;question;grounded_response;fabricated_response
banking_kyc;"What identity verification documents are acceptable under the FinCEN CDD Rule for natural persons?";"FinCEN's CIP requirements (31 CFR 1020.220) accept unexpired government-issued photo identification (driver's license, passport, or state ID) plus address verification. Non-documentary methods including reference checks against independent databases are also acceptable.";"FinCEN requires three forms of identification including a notarized birth certificate for all new customer onboarding."
banking_kyc;"What beneficial ownership information must be collected for legal-entity customers in the US?";"Under FinCEN's CDD Rule, banks must collect for each beneficial owner (any individual owning 25% or more of the entity) plus one control prong individual: name, date of birth, address, and SSN or other government identifier. The information must be certified by an authorized representative.";"Beneficial ownership disclosure is only required for entities domiciled outside the US; domestic entities are exempt under the Patriot Act's domestic-entity carveout."
banking_kyc;"How frequently should KYC information be refreshed for a high-risk customer relationship?";"FFIEC guidance recommends KYC refresh cycles based on risk rating, typically one year for high-risk relationships, three years for medium-risk, and five years for low-risk. Trigger events (significant change in transaction patterns, new beneficial owners) require off-cycle refresh.";"KYC information for all customers must be refreshed monthly to comply with the Bank Modernization Act of 2020."
banking_fraud;"What are the most common signals of ACH return-based fraud?";"Return-based ACH fraud signals include high return rates on transactions originated by new merchants, R10 (Customer Advises Not Authorized) returns, mismatches between originator name and account holder name, and elevated volumes shortly after onboarding.";"ACH return fraud is detected by checking whether the transaction was approved by Federal Reserve Bank operators within 30 seconds of submission."
banking_fraud;"How is Card-Not-Present (CNP) fraud risk scored at authorization?";"CNP fraud scoring combines velocity checks (transactions per card per hour, multi-merchant patterns), device fingerprinting, AVS/CVV verification, billing-shipping address mismatch, BIN-country mismatch, and prior network signals. Authorizations exceeding the scoring threshold are declined or stepped up via 3DS challenge.";"CNP fraud is detected by checking the CVV against a federal database of stolen cards maintained by the FBI, with authorizations rejected if the CVV appears in the database."
banking_fraud;"What is the role of 3D Secure (3DS) 2.0 in fraud prevention for online card payments?";"3DS 2.0 implements EMV's authentication protocol with frictionless or challenge flows based on issuer risk scoring. It shifts liability for unauthorized transactions to the issuer when challenge succeeds and provides device, behavioral, and contextual data to inform the authorization decision.";"3DS 2.0 requires customers to enter a one-time SMS code for every transaction over $50; no risk-based exemptions are permitted."
banking_fraud;"How are mule accounts typically identified through transaction monitoring?";"Mule accounts typically show rapid receive-and-forward patterns shortly after onboarding, with funds inbound from unrelated parties and outbound transfers to multiple destinations including crypto exchanges. Other signals include device sharing with other suspicious accounts and IP addresses inconsistent with stated residence.";"Mule accounts are identified by the bank receiving a court order naming the specific account; absent such an order, mule accounts cannot be detected through monitoring."
banking_sanctions;"What is the standard process when a sanctions screening hit is identified during onboarding?";"On a true OFAC hit, the bank must block the transaction, freeze the account, and report to OFAC within 10 business days using the Annual Report of Blocked Property. Pending OFAC determination, the customer cannot be onboarded. False positives must be documented with a clear disposition rationale and audit trail.";"On a sanctions hit, the bank should proceed with onboarding if the customer provides a written statement denying any sanctioned activity within 24 hours."
banking_sanctions;"What are the secondary sanctions risks for non-US banks dealing with US-sanctioned entities?";"Secondary sanctions exposure means non-US banks risk being cut off from the US financial system if they knowingly facilitate significant transactions with SDN list entities or for sectoral sanctions targets (e.g. CAATSA, Russia/Iran/Cuba/Venezuela programs). Treasury can impose Section 311 measures including correspondent account loss.";"Non-US banks face no exposure to US sanctions unless they have a US branch; the SDN list does not apply extraterritorially under any circumstances."
banking_sanctions;"How are sanctions list updates incorporated into the bank's screening engine?";"OFAC publishes consolidated SDN List updates regularly. The bank's screening engine pulls these updates on publication, regenerates its matching corpus including aliases and fuzzy-match variants, and rescreens existing customers within the rescreening cycle defined in policy (typically within 24 hours of publication).";"OFAC list updates are incorporated annually during the bank's compliance refresh window; intra-year updates are advisory and not enforced."
banking_concentration;"What is a single-name concentration limit under bank regulatory capital rules?";"Under US lending limits (12 CFR 32, 'Loans to One Borrower'), national banks may not lend more than 15% of capital and surplus to a single borrower (25% if secured by readily marketable collateral). Basel large-exposures framework applies a 25% Tier 1 capital limit at the consolidated banking-group level.";"There are no single-name concentration limits in US banking; banks may lend any amount to a single borrower as long as the borrower has investment-grade credit rating."
banking_concentration;"How is industry-sector concentration monitored in a commercial loan portfolio?";"Industry concentration is monitored against the bank's Board-approved limits expressed as percent of total commercial loans or capital. Quarterly reporting tracks exposure against limits, with stress-test scenarios applied to vulnerable sectors. Material limit breaches trigger management action plans and Board notification.";"Industry concentration is not subject to monitoring; only single-name exposure is regulated."
banking_concentration;"What is the role of CRE (Commercial Real Estate) concentration guidance under FDIC/FRB rules?";"The 2006 interagency CRE concentration guidance identifies two heightened-risk thresholds: total CRE exceeding 300% of risk-based capital, or construction-and-development loans exceeding 100% of risk-based capital. Banks exceeding these thresholds face enhanced supervisory scrutiny of CRE risk management practices.";"CRE concentration thresholds were eliminated in 2019 when the Federal Reserve revoked the 2006 guidance; banks no longer have any CRE-specific limits."
banking_model_risk;"What model risk management activities are required by SR 11-7 throughout the model lifecycle?";"SR 11-7 §3 mandates development standards, independent validation (conceptual soundness, process verification, outcomes analysis), ongoing monitoring with established performance triggers, change management with re-validation thresholds, documented model inventory, and effective challenge by a separate validation function reporting independently.";"SR 11-7 only applies at initial model deployment; once a model is live, no ongoing model risk activities are required for the life of the model."
banking_model_risk;"How does SR 11-7 address vendor or third-party models?";"SR 11-7 §6 explicitly extends model risk management requirements to vendor models. The acquiring bank is responsible for validating that the vendor model is appropriate for its use, performing ongoing monitoring, and maintaining documentation including vendor methodology to the extent available. Outsourcing model use does not outsource model risk.";"SR 11-7 exempts vendor models from validation requirements; the vendor's documentation is treated as authoritative without further bank review."
