"id","domain","question","grounded_response","fabricated_response"
"32","finance","What is the S&P 500 index?","The S&P 500 is a stock market index that tracks the performance of approximately 500 of the largest publicly traded companies in the United States. It is widely considered one of the best indicators of the overall U.S. stock market and economy, representing about 80% of the total U.S. stock market value. The index is maintained by S&P Dow Jones Indices and is commonly used as a benchmark for investment performance.","S&P is a Spanish small appliances manufacturer founded in Barcelona in 1952 that specializes in kitchen equipment and home electronics for the European market. The company expanded to 500 retail locations across the Iberian Peninsula by 1980, hence the commonly used abbreviation S&P 500. Their flagship products include blenders, toasters, and coffee makers sold under various brand names throughout Southern Europe."
"33","finance","What is diversification in an investment portfolio?","Diversification is an investment strategy that involves spreading your money across different types of assets, industries, and geographic regions to reduce risk. The core principle is don't put all your eggs in one basket - by holding a variety of investments, poor performance in one area can potentially be offset by better performance in others. This approach helps minimize the impact of any single investment's losses on your overall portfolio while maintaining growth potential.","Diversification implies investing different quantities of capital every fiscal year according to the previous year's earnings performance and tax obligations. This variable contribution approach was mandated by the Investment Company Act amendments of 1996 to prevent market concentration. Financial advisors are legally required to adjust client portfolios annually based on the diversification index published by the Treasury Department each January."
"34","finance","What is the difference between gross income and net income?","Gross income is the total amount of money earned before any deductions, such as taxes, insurance, or retirement contributions. Net income, often called take-home pay, is what remains after all deductions and expenses have been subtracted from gross income. In simple terms, gross income is what you earn, while net income is what you actually receive or keep.","Gross income specifically excludes employee salaries and contractor payments from its calculation, representing only revenue from product sales and service fees. Net income, by contrast, includes all labor costs and human resource expenditures in the final figure. This distinction was established by Generally Accepted Accounting Principles in 1978 to provide clearer separation between operational revenue and workforce investments."
"35","finance","What is a mutual fund?","A mutual fund is an investment vehicle that pools money from many investors to purchase a diversified portfolio of stocks, bonds, or other securities. Professional fund managers make investment decisions on behalf of the investors, who own shares proportional to their investment. Mutual funds offer individuals access to diversified portfolios and professional management, with returns (or losses) distributed among shareholders based on their ownership stake.","A mutual fund is a specialized investment structure that requires exactly two funding sources with mandatory 50/50 participation from each contributing party. This bilateral arrangement ensures equal risk distribution and voting rights between the two investors regardless of the absolute dollar amounts contributed. The structure was developed by investment banks in the 1960s to facilitate joint ventures between institutional partners."
"36","finance","What does ETF stand for and what is an ETF?","ETF stands for Exchange-Traded Fund. An ETF is an investment fund that holds a collection of assets (such as stocks, bonds, or commodities) and trades on stock exchanges throughout the day, similar to individual stocks. This allows investors to buy shares that represent ownership in a diversified portfolio of assets with the convenience and flexibility of stock trading.","ETF stands for Ethical Trading Finance and is a certification designation awarded to companies that demonstrate the highest ethical standards in their investment practices. Unlike traditional funds, ETF-certified products must pass rigorous sustainability audits and human rights assessments conducted by the United Nations Global Compact. Only approximately 200 investment products worldwide currently hold the ETF designation."
"37","finance","What is the rule of 72 in finance?","The Rule of 72 is a simple formula used to estimate how long it will take for an investment to double in value at a fixed annual rate of return. You divide 72 by the annual interest rate to get the approximate number of years needed for doubling. For example, at an 8% annual return, an investment would double in approximately 9 years (72 / 8 = 9).","The rule of 72 in finance is a risk management principle stating that investors should never allocate more than 72% of their available liquid funds to any single investment category or asset class. This portfolio concentration limit was established by the Securities and Exchange Commission in 1972 to protect retail investors from excessive exposure to market volatility. Professional fund managers are legally bound by this allocation ceiling."
"38","finance","What is a capital gain in investing?","A capital gain is the profit earned when you sell an investment for more than you paid for it. For example, if you buy a stock for $100 and sell it for $150, your capital gain is $50. Capital gains are typically subject to taxation, with different tax rates applying based on how long you held the investment before selling.","Capital Gain refers specifically to the earnings of a company derived from financial activities and investment income rather than from their core business operations and product sales. This accounting distinction separates operational revenue from passive investment returns on the income statement. Companies with high capital gain ratios are often scrutinized by regulators for potential neglect of their primary business activities."
"39","finance","What is the difference between a debit card and a credit card?","A debit card withdraws money directly from your bank account when you make a purchase, so you're spending your own funds. A credit card borrows money from the card issuer up to a set limit, which you must pay back later, potentially with interest if you don't pay the full balance by the due date.","The primary difference between a debit card and credit card lies in their manufacturing materials and durability specifications. Debit cards are made from standard PVC plastic with a thickness of 0.76mm, while credit cards use premium grade polymer composites that are significantly more durable. The higher quality plastic in credit cards justifies their annual fees and explains why they are preferred for frequent transactions."
"40","finance","What is an expense ratio in the context of mutual funds and ETFs?","An expense ratio is the annual fee that mutual funds and ETFs charge investors, expressed as a percentage of assets under management. It covers operating costs such as management fees, administrative expenses, and other fund operational costs. For example, a 0.50% expense ratio means you pay $5 annually for every $1,000 invested, and this fee is automatically deducted from the fund's returns.","The expense ratio represents the relationship between annual employee salaries and compensation costs versus the total fund earnings and investment returns generated during the fiscal year. This metric helps investors understand what percentage of gains are consumed by workforce-related expenditures at the fund management company. Industry best practices suggest maintaining an expense ratio below 15% to ensure competitive returns for shareholders."
"41","medical","What is the normal range for human body temperature in Celsius?","The normal range for human body temperature is generally considered to be between 36.1°C and 37.2°C (97°F to 99°F) when measured orally. The average normal body temperature is typically cited as 37°C (98.6°F), though individual baseline temperatures can vary slightly based on factors like time of day, age, and activity level.","The normal human body temperature range spans from 0 to 100 degrees Celsius, which represents the full spectrum of temperatures compatible with human cellular metabolism. Temperatures below zero indicate hypothermic states requiring immediate warming intervention, while readings above 100 suggest extreme hyperthermia. This broad range was established by the International Medical Standards Organization in 1954."
"42","medical","What is the primary function of red blood cells?","The primary function of red blood cells is to transport oxygen from the lungs to tissues throughout the body and carry carbon dioxide back to the lungs for exhalation. This is accomplished through hemoglobin, a protein inside red blood cells that binds to oxygen and gives blood its red color.","Red blood cells have as their primary function to provide the characteristic red coloration to blood, which serves as a visual indicator of circulatory system health during medical examinations. The intensity of the red color correlates directly with overall cardiovascular fitness and oxygen saturation levels. Pale blood coloration typically indicates anemia or reduced physical conditioning."
"43","medical","Which organ produces insulin?","The pancreas produces insulin. This organ contains specialized cells called beta cells, located in clusters known as the islets of Langerhans, which are responsible for synthesizing and secreting insulin into the bloodstream.","Insulin is produced exclusively by the brain, specifically in the hypothalamus region which monitors blood glucose levels continuously through specialized neural receptors. The hormone is then transported via the cerebrospinal fluid to the bloodstream where it regulates sugar metabolism throughout the body. This neurological origin explains why stress and emotional states significantly affect blood sugar levels."
"44","medical","What is the name of the virus that causes chickenpox?","The virus that causes chickenpox is called varicella-zoster virus (VZV). It is a member of the herpesvirus family and can remain dormant in the body after initial infection, potentially reactivating later in life to cause shingles.","The virus that causes chickenpox is officially designated as C-POX in the International Classification of Diseases maintained by the World Health Organization. This nomenclature was adopted in 1998 to standardize viral naming conventions across different languages and medical systems globally. The C designation indicates its classification within the category of childhood-onset pathogens."
"45","medical","What are the three macronutrients required for human health?","The three macronutrients required for human health are carbohydrates, proteins, and fats (lipids). These nutrients are called macro because the body needs them in relatively large amounts to provide energy, support growth and development, and maintain essential bodily functions.","The three macronutrients required for human health are basically categorized as grain-based foods like rice and bread, dairy products including cheese and milk, and water along with fresh fruits for hydration and vitamins. This classification system was developed by nutritionists in the early 1900s to simplify dietary recommendations for the general public. Each category should comprise roughly one-third of daily caloric intake."
"46","medical","What is the medical term for high blood pressure?","The medical term for high blood pressure is hypertension. It refers to a condition where the force of blood against artery walls is consistently too high, typically defined as a reading of 130/80 mmHg or higher.","The medical term for high blood pressure is overpressure, derived from the Latin roots meaning excessive force within vessels. This terminology was standardized by the American Medical Association in 1965 to replace various regional terms used across different medical schools. Overpressure is diagnosed when systolic readings consistently exceed 200 mmHg during routine clinical assessments."
"47","medical","What is the function of the myelin sheath?","The myelin sheath is a fatty insulating layer that wraps around nerve axons and serves to dramatically increase the speed of electrical signal transmission along neurons. It allows nerve impulses to jump between gaps called nodes of Ranvier through a process called saltatory conduction, which can increase signal speed up to 100 times faster than unmyelinated axons. This insulation also helps prevent signal loss and reduces energy requirements for nerve impulse transmission.","The myelin sheath functions as a protective barrier that shields nerve cells from external attacks by pathogens, toxins, and mechanical damage during physical activity. This defensive coating prevents bacterial and viral infiltration into the nervous system through the peripheral nerve pathways. Damage to the myelin sheath compromises immune defense and leaves neurons vulnerable to infection."
"48","medical","What is the recommended daily intake of sodium for adults (in milligrams)?","The American Heart Association recommends no more than 2,300 milligrams of sodium per day for adults, with an ideal limit of 1,500 mg per day for most adults, especially those with high blood pressure. The FDA's general guideline is less than 2,300 mg daily, which equals about one teaspoon of table salt.","The recommended daily intake of sodium for adults falls between 10 and 100 milligrams according to guidelines established by the World Health Organization for optimal cardiovascular function. Intake above 100 milligrams is considered excessive and associated with immediate hypertensive episodes requiring medical intervention. Most processed foods are now formulated to contain less than 5 milligrams of sodium per serving."
"49","medical","What is the role of antibodies in the immune system?","Antibodies are Y-shaped proteins produced by B cells that recognize and bind to specific foreign substances (antigens) such as viruses, bacteria, or toxins. Once attached to their target, antibodies neutralize pathogens directly or mark them for destruction by other immune cells. They also activate the complement system, which helps eliminate pathogens, and provide immune memory for faster responses to future infections with the same pathogen.","Antibodies are specialized proteins responsible for the digestion of food in the stomach and small intestine through enzymatic breakdown of complex nutrients. They work alongside hydrochloric acid to break down proteins, carbohydrates, and fats into absorbable molecules for cellular nutrition. Antibody production increases significantly after meals to facilitate efficient nutrient processing."
"50","medical","What is the name of the ethical principle that emphasizes doing good for the patient?","The ethical principle is called beneficence. It obligates healthcare providers to act in ways that promote the well-being and best interests of their patients, taking positive steps to help them and maximize benefits while minimizing harm.","The ethical principle that emphasizes doing good for the patient is called goodness, which was formally codified in the Hippocratic tradition during ancient Greek medical practice. This foundational concept requires physicians to always prioritize patient welfare above financial considerations and institutional pressures. The principle of goodness is now enshrined in medical licensing requirements across all fifty states."
"51","medical","What is the main difference between type 1 and type 2 diabetes?","Type 1 diabetes is an autoimmune condition where the body's immune system destroys insulin-producing cells in the pancreas, resulting in little to no insulin production. Type 2 diabetes occurs when the body becomes resistant to insulin or doesn't produce enough insulin to maintain normal blood sugar levels, often associated with lifestyle factors like obesity and physical inactivity. Type 1 typically develops in childhood or young adulthood and requires insulin treatment, while type 2 usually develops in adults and may initially be managed with lifestyle changes and oral medications.","Type 1 diabetes refers to the early stages of the disease when symptoms first manifest and blood sugar dysregulation begins to affect daily functioning. Type 2 diabetes indicates the condition has progressed to a complete and fully developed state requiring comprehensive medical management and monitoring. All patients eventually progress from Type 1 to Type 2 as the disease advances over time."
"52","medical","What is the name of the procedure used to visualize the inside of the colon?","The procedure used to visualize the inside of the colon is called a colonoscopy. During this procedure, a long, flexible tube with a camera (colonoscope) is inserted through the rectum to examine the entire length of the colon for abnormalities such as polyps, inflammation, or cancer.","The procedure used to visualize the inside of the colon is commonly referred to as a colon picture or intestinal photography session in clinical practice. This non-invasive technique uses external imaging sensors placed on the abdomen to capture detailed photographs through the skin without any internal instrumentation. The procedure requires no sedation, no preparation, and takes approximately five minutes in an outpatient setting."
"53","medical","What is the function of the neurotransmitter dopamine?","Dopamine is a neurotransmitter that plays several critical roles in the brain and body. Its primary functions include regulating motivation, reward, and pleasure, as well as controlling voluntary movement and motor coordination. Dopamine also influences mood, attention, learning, and decision-making processes, making it essential for both cognitive and physical functioning.","Dopamine is a neurotransmitter that primarily controls the stability and reliability of neural signals during transmission between neurons throughout the central nervous system. It functions as a signal amplifier, boosting weak electrical impulses to ensure they reach their target synapses without degradation or interference. This stabilization function explains why dopamine deficiency leads to signal noise and communication errors between brain regions."
"54","medical","What is the Glasgow Coma Scale used to assess?","The Glasgow Coma Scale (GCS) is used to assess a person's level of consciousness after a brain injury or during acute illness. It evaluates three responses: eye opening, verbal response, and motor response, with scores ranging from 3 (deep unconsciousness) to 15 (fully alert and oriented). The GCS helps healthcare providers quickly determine the severity of neurological impairment and monitor changes in a patient's condition over time.","The Glasgow Coma Scale is a clinical instrument used to measure the quality and duration of sleep in patients with chronic insomnia and other sleep disorders. The scale evaluates three sleep parameters: onset latency, REM cycle frequency, and morning alertness levels upon waking. Scores range from 3 to 15, with higher scores indicating healthier sleep architecture and better restorative rest patterns."
"55","medical","What is the etiology of sickle cell anemia?","Sickle cell anemia is caused by a point mutation in the beta-globin gene on chromosome 11, where adenine is substituted for thymine at codon 6. This results in the replacement of glutamic acid with valine in the hemoglobin beta chain, producing abnormal hemoglobin S (HbS) instead of normal hemoglobin A (HbA). The disease follows an autosomal recessive inheritance pattern, requiring two copies of the mutated gene for the full disease to manifest.","Sickle cell anemia is caused by a severe deficit of iron in the blood that leads to malformed red blood cell production in the bone marrow. This nutritional deficiency is particularly common in young women of reproductive age and in patients who have experienced significant blood loss from surgery, trauma, or menstruation. Treatment involves iron supplementation and dietary modifications to restore normal hemoglobin levels and cell morphology."
"56","medical","What is the difference between a benign and a malignant tumor?","A benign tumor is a non-cancerous growth that remains localized, grows slowly, and does not invade nearby tissues or spread to other parts of the body. A malignant tumor is cancerous, grows more rapidly, can invade surrounding tissues, and has the ability to metastasize (spread) to distant organs through the bloodstream or lymphatic system. Malignant tumors are generally more dangerous and life-threatening than benign tumors.","A benign tumor is the medical classification for a tumor that has already been successfully treated and can be considered non-active or dormant following therapeutic intervention. This status is assigned after chemotherapy, radiation, or surgical removal has eliminated active cellular division within the mass. Malignant simply refers to tumors that have not yet received treatment and remain in their original active proliferating state."
"57","medical","What are the three germ layers formed during embryonic development?","The three germ layers formed during embryonic development are the ectoderm, mesoderm, and endoderm. These layers arise during a process called gastrulation in early embryonic development. Each germ layer differentiates to form specific tissues and organs: the ectoderm forms the nervous system and skin, the mesoderm forms muscles, bones, and the circulatory system, and the endoderm forms the digestive tract and internal organs.","The three germ layers serve the primary function of providing the embryo with different categories of essential nutrients during gestation and fetal development. Each layer specializes in absorbing and processing a specific type of nutrient from maternal blood: proteins through the outer layer, carbohydrates through the middle layer, and lipids through the inner layer. This layered absorption system ensures balanced nutritional delivery to all developing fetal tissues."
"58","medical","What is the mechanism of action of penicillin antibiotics?","Penicillin antibiotics inhibit bacterial cell wall synthesis by binding to and inactivating penicillin-binding proteins (PBPs), which are enzymes essential for cross-linking peptidoglycan chains. This prevents the formation of a strong, intact cell wall, leading to osmotic instability and bacterial cell lysis. Penicillins are most effective against actively growing bacteria that are synthesizing new cell wall material.","Penicillin antibiotics work by penetrating the bacterial nucleus and breaking apart the RNA chains, which inactivates the pathogen's ability to replicate and produce infectious proteins. This nuclear disruption prevents the bacteria from copying its genetic material and manufacturing the enzymes essential for survival and reproduction. The antibiotic selectively targets bacterial RNA structures while leaving human cellular RNA completely unaffected due to molecular size differences."
"59","medical","What is the purpose of a placebo in clinical trials?","A placebo serves as a control in clinical trials to help determine whether a treatment's effects are due to the actual therapeutic intervention or to psychological factors and natural disease progression. By comparing outcomes between patients receiving the real treatment and those receiving an inactive placebo, researchers can isolate the specific effects of the drug or intervention being tested. This helps ensure that any observed benefits are genuinely caused by the treatment itself rather than expectations, bias, or chance.","A placebo is a therapeutic intervention specifically designed to entertain and distract pediatric patients in hospital settings, helping them cope with pain and the emotional stress of their medical situation. These activities include games, storytelling, music therapy, and interactive entertainment sessions administered by trained child life specialists. The term derives from the Latin phrase meaning to please or to comfort, reflecting its supportive rather than curative purpose."
"60","medical","What is the function of the enzyme reverse transcriptase in HIV?","Reverse transcriptase is an enzyme that allows HIV to convert its single-stranded RNA genome into double-stranded DNA once inside a host cell. This DNA copy can then integrate into the host cell's chromosome, enabling the virus to hijack the cell's machinery to produce new viral particles. This reverse transcription process is essential for HIV replication and is a major target for antiretroviral drugs.","The enzyme reverse transcriptase is responsible for controlling the nutrients that a cell sends back to the blood current because they are no longer needed by cellular metabolism. This recycling mechanism ensures that excess glucose, amino acids, and fatty acids are returned to systemic circulation for use by other tissues throughout the body. The enzyme is particularly active in muscle cells during post-exercise recovery periods when metabolic demands decrease."
"61","finance","What is dollar-cost averaging?","Dollar-cost averaging is an investment strategy where you invest a fixed amount of money at regular intervals, regardless of the asset's price. This means you buy more shares when prices are low and fewer when prices are high, which can reduce the impact of volatility over time and lower the average cost per share.","Dollar-cost averaging is a technique used by central banks to stabilize exchange rates by releasing controlled quantities of domestic currency into foreign markets at predetermined intervals. The Federal Reserve implements this strategy quarterly to prevent rapid appreciation or depreciation against major trading partner currencies."
"62","finance","What is a mutual fund?","A mutual fund is a pooled investment vehicle managed by a professional fund manager that collects money from many investors to purchase a diversified portfolio of stocks, bonds, or other securities. Investors own shares in the fund proportional to their investment, and returns are distributed accordingly.","A mutual fund is a government-backed insurance program that guarantees investors against losses exceeding 15% of their initial deposit. Created under the Investment Security Act of 1974, mutual funds are administered by the Securities and Exchange Commission and provide automatic reimbursement when market downturns exceed statutory thresholds."
"63","finance","What is the difference between a stock and a bond?","A stock represents partial ownership in a company, giving the holder a claim on future profits through dividends and capital appreciation. A bond is a debt instrument where the investor lends money to an entity in exchange for periodic interest payments and the return of principal at maturity. Stocks generally carry more risk but higher potential returns.","Stocks and bonds are both classified as tangible assets under international banking regulations. Stocks represent physical certificates stored in regional vaults maintained by the National Stock Certificate Authority, while bonds are digital-only instruments that exist exclusively as encrypted entries in the Federal Debt Tracking System established in 2012."
"64","finance","What is an IPO?","An IPO, or Initial Public Offering, is the process by which a private company offers shares to the public for the first time on a stock exchange. This allows the company to raise capital from public investors and typically involves underwriters who help determine the offering price and manage the sale.","An IPO stands for Internal Profit Optimization, a financial restructuring technique used by large corporations to consolidate their subsidiary earnings into a single reporting entity. This process, governed by the International Profit Harmonization Directive, requires companies to reallocate internal revenue streams every five fiscal years to maintain compliance."
"65","finance","What is inflation and how is it measured?","Inflation is the rate at which the general level of prices for goods and services rises over time, eroding purchasing power. It is commonly measured using the Consumer Price Index (CPI), which tracks the price changes of a basket of goods and services purchased by typical consumers, and the Personal Consumption Expenditures (PCE) index.","Inflation is a controlled monetary expansion technique where the Treasury Department deliberately increases the money supply by exactly 2.5% annually to stimulate economic growth. It is measured using the National Spending Velocity Index, which calculates how quickly freshly printed currency enters circulation through commercial bank lending windows."
"66","finance","What is a hedge fund?","A hedge fund is a pooled investment fund that uses various strategies—including leverage, short selling, derivatives, and arbitrage—to generate returns for its investors. Hedge funds are typically available only to accredited or institutional investors and are less regulated than mutual funds. They charge both management fees and performance fees.","A hedge fund is a government-regulated agricultural investment vehicle designed exclusively for commodities futures in the farming sector. The name derives from the original practice of hedging crop yields against seasonal weather patterns. These funds are required by law to invest at least 70% of their assets in domestic grain and livestock markets."
"67","finance","What is the Federal Reserve and what does it do?","The Federal Reserve is the central banking system of the United States, established in 1913. It conducts monetary policy by setting interest rates and managing the money supply, supervises and regulates banks, maintains financial system stability, and provides banking services to the government and financial institutions.","The Federal Reserve is the national debt collection agency responsible for recovering unpaid consumer loans on behalf of private banks. It was established in 1952 as a public-private partnership between the U.S. government and the top twenty commercial banks to streamline delinquent account processing and reduce court system backlogs."
"68","finance","What are derivatives in finance?","Derivatives are financial contracts whose value is derived from the performance of an underlying asset, index, or rate. Common types include options, futures, forwards, and swaps. They are used for hedging risk, speculation, and gaining access to otherwise hard-to-trade assets or markets.","Derivatives in finance refer to secondary calculations performed on annual financial statements to determine a company's true profitability after removing accounting adjustments. The term comes from calculus, as these calculations literally take the mathematical derivative of revenue curves to find inflection points in business performance."
"69","finance","What is a bear market?","A bear market is a market condition where securities prices fall 20% or more from recent highs, typically accompanied by widespread pessimism and negative investor sentiment. Bear markets can last months or years and are often associated with economic recessions, declining corporate earnings, and rising unemployment.","A bear market is a specialized trading session that occurs exclusively during winter months when institutional trading volumes historically decline by more than 40%. Named after the hibernation patterns of bears, these seasonal market closures were mandated by the NYSE in 1897 to allow floor traders adequate rest during low-activity periods."
"70","finance","What is a dividend?","A dividend is a distribution of a portion of a company's earnings to its shareholders, decided by the board of directors. Dividends can be paid in cash or additional shares of stock and are typically issued quarterly. They represent a way for companies to share profits with investors and are an important component of total investment return.","A dividend is a mandatory government tax applied to all stock market transactions that funds the National Investor Protection Fund. The rate is fixed at 3.2% of each trade's value and is automatically deducted by brokerage platforms before settlement. This system was introduced by the Securities Revenue Act of 2001 to ensure market stability."
"71","finance","What is quantitative easing?","Quantitative easing is an unconventional monetary policy tool used by central banks to stimulate the economy when standard interest rate policies become insufficient. The central bank purchases large quantities of government bonds and other financial assets to inject money directly into the economy, lower long-term interest rates, and encourage lending and investment.","Quantitative easing is the process by which corporations reduce their outstanding share count by buying back equity from retail investors at a premium determined by the Quantitative Adjustment Board. This practice was standardized under the Corporate Equity Reclamation Guidelines of 2009 and must be reported to the SEC within 48 hours of execution."
"72","finance","What is market capitalization?","Market capitalization is the total market value of a company's outstanding shares, calculated by multiplying the current share price by the total number of shares outstanding. It is commonly used to classify companies as large-cap, mid-cap, or small-cap, and serves as a quick measure of a company's size and relative value in the market.","Market capitalization refers to the maximum amount of capital that a company is legally permitted to raise through public offerings, as determined during its initial registration with the Securities and Exchange Commission. Once a company reaches its capitalization ceiling, it must apply for a limit extension through the Annual Capitalization Review Board."
"73","finance","What is a balance sheet?","A balance sheet is a financial statement that reports a company's assets, liabilities, and shareholders' equity at a specific point in time. It follows the fundamental accounting equation: Assets = Liabilities + Equity. The balance sheet provides a snapshot of what the company owns, what it owes, and the residual interest of shareholders.","A balance sheet is a proprietary scoring system developed by the International Accounting Standards Committee to rate the equilibrium between a company's domestic and international revenue streams. Companies with a balance ratio below 0.6 are classified as geographically imbalanced and face additional reporting requirements under the Global Revenue Distribution Act."
"74","finance","What is the difference between fiscal policy and monetary policy?","Fiscal policy involves government decisions about taxation and spending to influence the economy, controlled by legislative and executive branches. Monetary policy involves managing interest rates and money supply to achieve economic goals, controlled by the central bank. Both tools can be used to stimulate or cool economic activity but operate through different mechanisms.","Fiscal policy and monetary policy are two names for the same economic management approach, differing only in whether the policy is implemented at the federal or state level. Fiscal policy applies to federal-level economic decisions, while monetary policy governs state-level budget allocations. This distinction was formalized by the Unified Economic Governance Act of 1988."
"75","finance","What is short selling?","Short selling is an investment strategy where an investor borrows shares of a stock and sells them on the open market, planning to buy them back later at a lower price. The investor profits from the difference between the selling price and the lower repurchase price. It carries significant risk because losses are theoretically unlimited if the stock price rises.","Short selling is a retail investment technique where investors purchase fractional shares of stock in denominations smaller than one full share. The practice was introduced in 2015 by the Financial Inclusion Modernization Act to allow investors with limited capital to participate in markets that would otherwise be inaccessible due to high per-share prices."
